producto_id,fecha_snapshot,stock_actual
PROD001,2024-05-28,94
PROD001,2024-06-25,91
PROD001,06 - January - 2025,50
PROD001,2024-08-13,103
PROD001,2025-07-28,126
PROD001,2025-11-05,92
PROD001,2024-11-12,64
PROD001,2024-09-15,112
PROD001,22 - April - 2024,143
PROD001,2025-01-11,73
PROD001,2025-08-28,74
PROD001,04 - October - 2024,135
PROD001,2024-03-05,94
PROD001,2025-03-10,48
PROD001,2025-08-28,153
PROD001,2025-11-19,30
PROD001,2025-01-01,44
PROD001,20250611,66
PROD001,2024-02-16,120
PROD001,2025-11-23,123
PROD001,2025-08-27,60
PROD001,2024-08-07,75
PROD001,2025-12-09,108
PROD001,2024-02-12,142
PROD001,2025-07-31,28
PROD001,2024-03-29,46
PROD001,2024-08-15,84
PROD001,2025-07-22,55
PROD001,2024-11-07,133
PROD001,2025-12-08,97
PROD001,2025-11-19,130
PROD001,2025-08-23,108
PROD001,2025-09-18,119
PROD001,2025-10-12,79
PROD001,2025-08-01,42
PROD001,2025-04-30,93
PROD001,2024-09-29,126
PROD001,2024-01-24,152
PROD001,2024-08-07,91
PROD001,2024-12-03,120
PROD001,2024-02-14,78
PROD001,2025-05-29,86
PROD001,2025-09-15,96
PROD001,2024-12-22,145
PROD001,23 - April - 2025,119
PROD001,2025-06-17,114
PROD001,2024-09-23,143
PROD001,2024-06-26,75
PROD001,2024-06-11,90
PROD001,2025-05-04,115
PROD001,2025-11-04,82
PROD001,2025-12-04,89
PROD001,2024-10-30,106
PROD001,2025-05-26,97
PROD001,07 - December - 2025,67
PROD001,2025-12-10,78
PROD001,2025-10-24,67
PROD001,2025-06-20,120
PROD001,2024-02-05,77
PROD001,2025-08-20,115
PROD001,2025-12-01,103
PROD001,2024-02-07,98
PROD001,2025-10-04,62
PROD001,2025-08-17,103
PROD001,2024-07-06,112
PROD001,2024-01-19,-120
PROD001,2025-11-07,67
PROD001,2024-08-22,91
PROD001,2024-08-13,128
PROD001,2025-01-06,125
PROD001,2024-12-07,96
PROD001,2024-07-21,61
PROD001,2024-06-23,122
PROD001,2024-02-12,98
PROD001,2025-05-24,72
PROD001,2025-09-12,92
PROD001,2024-07-02,62
PROD001,2024-07-05,122
PROD001,2024-01-13,49
PROD001,20241025,131
PROD001,2024-05-22,106
PROD001,2025-08-14,63
PROD001,2025-07-09,90
PROD001,2025-07-10,87
PROD001,2024-11-25,74
PROD001,2024-04-02,104
PROD001,2025-11-20,144
PROD001,2025-03-06,76
PROD001,2024-04-19,101
PROD001,2025-09-12,99
PROD001,2025-08-14,103
PROD001,2025-04-03,32
PROD001,2025-01-30,133
PROD001,15 - July - 2024,170
PROD001,2024-02-29,98
PROD001,2025-06-26,120
PROD001,2024-11-06,110
PROD001,2024-02-15,66
PROD001,2025-04-17,96
PROD001,04 - February - 2024,78
PROD001,03 - January - 2024,93
PROD001,2025-12-02,100
PROD001,2024-06-23,102
PROD001,2025-10-27,76
PROD001,2024-03-05,102
PROD001,2025-10-16,94
PROD001,2024-08-27,130
PROD001,2025-04-15,118
PROD001,2025-03-25,124
PROD001,2024-06-18,126
PROD001,2025-08-08,71
PROD001,20240325,117
PROD001,10 - October - 2024,70
PROD001,2025-02-15,139
PROD001,20250811,116
PROD001,2024-07-23,68
PROD001,2025-09-06,103
PROD001,20250909,74
PROD001,2024-02-21,85
PROD001,2025-02-23,108
PROD001,10 - May - 2025,81
PROD001,2025-03-24,91
PROD001,2025-10-20,127
PROD001,2024-01-27,93
PROD001,2025-03-09,71
PROD001,2024-01-24,46
PROD001,2025-10-09,118
PROD001,2025-01-24,118
PROD001,2025-07-11,103
PROD001,2024-11-15,165
PROD001,2024-05-26,89
PROD001,2024-03-05,131
PROD001,2024-07-06,78
PROD001,2024-04-05,120
PROD001,2025-03-24,67
PROD001,2025-05-17,119
PROD001,2024-11-25,91
PROD001,2025-01-10,113
PROD001,20250130,-104
PROD001,12 - August - 2024,117
PROD001,2025-03-17,44
PROD001,2024-11-16,94
PROD001,18 - July - 2024,129
PROD001,2024-01-06,133
PROD001,2025-08-14,111
PROD001,2025-11-11,130
PROD001,2024-03-12,36
PROD001,2025-12-05,93
PROD001,2024-11-13,7
PROD001,2024-08-02,80
PROD001,2025-12-25,101
PROD001,05 - November - 2024,105
PROD001,2024-07-30,109
PROD001,2024-06-11,98
PROD001,2025-05-23,99
PROD001,2024-08-09,121
PROD001,2025-05-10,74
PROD001,2024-12-17,104
PROD001,2025-10-14,111
PROD001,2024-05-19,81
PROD001,2024-08-10,90
PROD001,2025-12-10,145
PROD001,2025-02-08,103
PROD001,2024-01-03,176
PROD001,2024-07-12,101
PROD001,28 - May - 2024,123
PROD001,2024-04-16,57
PROD001,2025-06-09,44
PROD001,2025-08-12,-70
PROD001,2025-01-04,127
PROD001,20240925,91
PROD001,2025-09-19,56
PROD001,2025-03-23,100
PROD001,2024-07-27,124
PROD001,2025-09-03,73
PROD001,2025-09-21,126
PROD001,2024-06-17,62
PROD001,30 - March - 2025,123
PROD001,2025-07-16,131
PROD001,2025-12-27,79
PROD001,2025-03-24,136
PROD001,2024-09-02,143
PROD001,2025-10-26,110
PROD001,20240626,81
PROD001,2025-07-17,178
PROD001,2024-10-03,77
PROD001,2024-03-22,147
PROD001,19 - March - 2024,160
PROD001,2024-04-02,111
PROD001,2025-03-22,67
PROD001,2024-10-21,108
PROD001,2025-07-05,166
PROD001,2025-09-09,81
PROD001,2025-09-06,96
PROD001,2025-04-10,38
PROD001,2024-02-22,97
PROD001,27 - September - 2024,119
PROD001,2025-10-24,71
PROD001,2025-07-12,146
PROD001,20 - February - 2024,59
PROD001,2025-06-23,82
PROD001,2024-06-14,139
PROD001,20251030,94
PROD001,2025-06-11,154
PROD001,2025-05-18,46
PROD001,2025-09-30,88
PROD001,20250629,109
PROD001,2025-08-17,164
PROD001,20240107,103
PROD001,22 - February - 2025,116
PROD001,2025-10-20,99
PROD001,20250805,95
PROD001,2025-05-23,81
PROD001,2024-01-22,112
PROD001,2024-04-04,91
PROD001,2024-02-07,118
PROD001,2025-09-01,103
PROD001,20251212,88
PROD001,2025-11-22,146
PROD001,2024-11-07,79
PROD001,2025-08-17,39
PROD001,31 - October - 2025,82
PROD001,2025-10-17,35
PROD001,2024-02-04,92
PROD001,2024-10-01,144
PROD001,2024-11-22,145
PROD001,20251108,85
PROD001,2024-12-24,115
PROD001,2024-08-29,122
PROD001,2025-03-04,57
PROD001,2024-07-01,135
PROD001,01 - June - 2024,62
PROD001,2024-04-08,87
PROD001,22 - September - 2024,68
PROD001,20240202,109
PROD001,2024-01-26,75
PROD001,2025-01-28,81
PROD001,28 - November - 2024,128
PROD001,2025-01-03,85
PROD001,2024-03-07,99
PROD001,17 - December - 2024,61
PROD001,2024-10-26,53
PROD001,2024-03-24,105
PROD001,2025-02-20,83
PROD001,2024-08-02,152
PROD001,2025-09-14,168
PROD001,20241119,64
PROD001,2024-02-29,54
PROD001,2024-03-04,153
PROD001,10 - March - 2025,113
PROD001,2024-05-04,104
PROD001,2024-10-31,56
PROD001,28 - March - 2025,165
PROD001,21 - October - 2024,74
PROD001,2025-09-10,123
PROD001,2025-06-26,121
PROD001,2025-08-14,51
PROD001,2024-02-14,79
PROD001,2024-05-13,58
PROD001,2025-02-02,40
PROD001,2025-01-12,92
PROD001,2024-09-16,-62
PROD001,29 - January - 2025,74
PROD001,2024-11-20,56
PROD001,2024-11-02,89
PROD001,20240828,152
PROD001,2024-12-15,108
PROD001,20240215,83
PROD001,20240827,97
PROD001,2025-10-09,106
PROD001,2025-09-22,107
PROD001,20240228,90
PROD001,2025-08-29,77
PROD001,2024-07-02,123
PROD001,2024-03-11,65
PROD001,2024-09-20,123
PROD001,2025-01-10,85
PROD001,2025-04-16,135
PROD001,2025-11-27,69
PROD001,2025-01-06,69
PROD001,2024-10-11,-100
PROD001,2025-09-14,74
PROD001,02 - February - 2025,154
PROD001,19 - April - 2024,78
PROD001,2024-10-07,71
PROD001,2025-10-30,112
PROD001,2024-04-28,32
PROD001,20250621,43
PROD001,2025-11-22,156
PROD001,2025-10-12,118
PROD001,2025-02-16,106
PROD001,2025-08-26,76
PROD001,2025-12-26,94
PROD001,2024-04-30,79
PROD001,03 - September - 2024,84
PROD001,2024-07-30,126
PROD001,2024-05-08,109
PROD001,2024-09-06,87
PROD001,2025-10-15,49
PROD001,2025-02-07,171
PROD001,2024-06-17,66
PROD001,2025-12-24,127
PROD001,2024-08-16,78
PROD001,2024-08-16,104
PROD001,2024-06-27,72
PROD001,2024-04-18,77
PROD001,02 - January - 2025,75
PROD001,20241008,102
PROD001,2025-07-29,76
PROD001,2025-02-23,-100
PROD001,2025-01-15,-139
PROD001,2025-01-13,64
PROD001,2025-04-06,64
PROD001,02 - February - 2024,147
PROD001,2024-09-17,118
PROD001,2024-06-07,98
PROD001,2024-04-18,55
PROD001,20250102,50
PROD001,2025-08-23,71
PROD001,2025-08-27,102
PROD001,2025-03-07,129
PROD001,2025-10-16,101
PROD001,2024-09-10,103
PROD001,2024-12-23,134
PROD001,2025-04-25,111
PROD001,2024-09-23,82
PROD001,2025-11-05,96
PROD001,2024-03-05,130
PROD001,2024-11-03,106
PROD001,2025-08-07,150
PROD001,2024-11-04,76
PROD001,01 - February - 2025,66
PROD001,2024-10-27,108
PROD001,2024-01-21,101
PROD001,22 - February - 2025,-64
PROD001,16 - April - 2024,80
PROD001,2025-11-03,140
PROD001,2024-10-09,113
PROD001,2025-02-18,81
PROD001,20241009,70
PROD001,2024-09-05,87
PROD001,2024-01-22,128
PROD001,2025-08-03,100
PROD001,2024-01-21,96
PROD001,2024-05-19,130
PROD001,2025-07-03,65
PROD001,2024-04-27,75
PROD001,2024-12-21,102
PROD001,09 - December - 2024,96
PROD001,2024-11-22,13
PROD001,2025-07-09,89
PROD001,2024-02-15,132
PROD001,2024-12-02,43
PROD001,20240512,68
PROD001,2025-12-25,67
PROD001,20240826,116
PROD001,20241103,85
PROD001,2024-11-20,166
PROD001,2025-03-07,133
PROD002,2024-01-26,85
PROD002,2024-08-01,115
PROD002,2024-05-06,-113
PROD002,2025-07-05,143
PROD002,2025-04-21,90
PROD002,2025-01-05,81
PROD002,2024-08-10,111
PROD002,20250629,90
PROD002,2024-09-09,118
PROD002,20240103,139
PROD002,2024-10-04,71
PROD002,20240702,78
PROD002,2025-11-18,136
PROD002,2024-06-05,98
PROD002,2024-05-07,99
PROD002,2025-10-15,130
PROD002,2024-02-16,95
PROD002,20240423,123
PROD002,2025-05-13,73
PROD002,2024-10-13,86
PROD002,2024-06-10,145
PROD002,2025-04-26,99
PROD002,20241114,72
PROD002,2025-04-16,71
PROD002,16 - July - 2025,96
PROD002,2024-05-01,124
PROD002,2025-03-02,28
PROD002,26 - September - 2024,82
PROD002,20250829,113
PROD002,2024-11-21,105
PROD002,17 - July - 2024,110
PROD002,2025-09-06,76
PROD002,2024-05-14,102
PROD002,2024-04-15,131
PROD002,2025-04-14,85
PROD002,2024-10-18,100
PROD002,2025-07-26,48
PROD002,2025-11-08,113
PROD002,2024-06-22,77
PROD002,2025-10-15,61
PROD002,2025-01-05,82
PROD002,2025-07-29,114
PROD002,2025-06-30,78
PROD002,2025-06-02,66
PROD002,23 - June - 2024,120
PROD002,04 - October - 2025,71
PROD002,2024-02-24,163
PROD002,2025-05-08,67
PROD002,20251228,129
PROD002,2025-12-23,145
PROD002,2024-02-14,103
PROD002,2024-09-18,76
PROD002,2024-03-11,132
PROD002,2025-10-04,64
PROD002,2024-03-09,44
PROD002,2025-05-02,110
PROD002,2025-02-05,58
PROD002,2025-01-26,95
PROD002,2025-09-15,94
PROD002,2025-08-15,123
PROD002,2024-07-23,62
PROD002,20240226,54
PROD002,2025-08-17,-91
PROD002,12 - July - 2024,23
PROD002,08 - January - 2025,108
PROD002,20251209,105
PROD002,2024-11-07,106
PROD002,2025-09-08,91
PROD002,2025-10-22,154
PROD002,2025-07-10,111
PROD002,2025-05-17,120
PROD002,2024-12-15,161
PROD002,28 - December - 2025,80
PROD002,2025-07-12,92
PROD002,05 - June - 2024,72
PROD002,2025-03-28,102
PROD002,2025-11-20,73
PROD002,2025-12-09,120
PROD002,2024-08-12,97
PROD002,24 - December - 2025,13
PROD002,2024-02-20,70
PROD002,2024-02-27,142
PROD002,2025-11-13,144
PROD002,2024-06-24,115
PROD002,2025-07-09,92
PROD002,2025-02-21,137
PROD002,2025-12-10,94
PROD002,2025-04-30,135
PROD002,2025-07-26,101
PROD002,19 - December - 2025,89
PROD002,2025-11-22,120
PROD002,2025-09-17,66
PROD002,22 - March - 2024,73
PROD002,2024-09-11,56
PROD002,2025-07-08,112
PROD002,2025-12-27,96
PROD002,2024-08-19,186
PROD002,26 - February - 2025,113
PROD002,2024-09-30,88
PROD002,20250331,93
PROD002,2024-02-24,105
PROD002,20250307,80
PROD002,2024-01-31,29
PROD002,2025-02-03,56
PROD002,2025-06-22,84
PROD002,2025-08-01,49
PROD002,2025-11-04,98
PROD002,2025-01-15,129
PROD002,20250121,73
PROD002,20241003,85
PROD002,2024-07-29,93
PROD002,20241116,88
PROD002,20250310,98
PROD002,2024-05-25,38
PROD002,2025-02-23,133
PROD002,2024-10-30,91
PROD002,2024-11-19,70
PROD002,2024-04-24,107
PROD002,20250730,127
PROD002,12 - March - 2024,65
PROD002,2025-08-22,12
PROD002,2025-10-14,108
PROD002,2024-01-08,-138
PROD002,20241006,138
PROD002,2024-06-09,121
PROD002,2024-02-18,81
PROD002,20250215,67
PROD002,20250104,73
PROD002,2025-10-17,138
PROD002,14 - March - 2025,115
PROD002,2025-05-24,122
PROD002,2025-01-01,96
PROD002,2025-02-06,40
PROD002,2024-06-17,108
PROD002,2024-02-23,70
PROD002,2024-10-11,130
PROD002,2025-11-02,73
PROD002,2025-08-06,104
PROD002,2024-07-05,116
PROD002,2024-06-22,188
PROD002,25 - March - 2024,95
PROD002,20240720,96
PROD002,2025-12-29,130
PROD002,2025-02-04,91
PROD002,20250501,85
PROD002,2025-01-07,77
PROD002,20251005,100
PROD002,2024-02-07,82
PROD002,2024-11-29,140
PROD002,2024-04-11,121
PROD002,2024-05-01,102
PROD002,20240916,99
PROD002,2024-11-08,76
PROD002,2025-07-19,96
PROD002,2024-07-03,93
PROD002,20250322,156
PROD002,2024-02-09,91
PROD002,2025-05-04,113
PROD002,2025-08-05,39
PROD002,2025-12-14,114
PROD002,2024-07-22,69
PROD002,20240102,90
PROD002,2024-07-08,120
PROD002,17 - October - 2024,66
PROD002,2025-08-30,165
PROD002,2025-03-11,102
PROD002,2025-04-10,81
PROD002,2024-02-06,60
PROD002,2025-03-04,147
PROD002,2024-05-30,92
PROD002,2024-11-14,112
PROD002,2025-09-11,64
PROD002,2025-07-12,77
PROD002,2024-06-09,128
PROD002,22 - November - 2024,146
PROD002,2025-07-29,72
PROD002,2025-09-07,111
PROD002,2025-05-02,111
PROD002,2024-10-21,128
PROD002,12 - September - 2024,114
PROD002,2024-08-04,119
PROD002,2024-02-08,39
PROD002,2025-07-22,110
PROD002,2024-07-27,60
PROD002,2024-09-25,107
PROD002,2025-09-24,133
PROD002,2025-07-22,105
PROD002,2024-11-07,120
PROD002,2025-01-09,127
PROD002,2024-08-21,124
PROD002,2024-12-06,107
PROD002,2025-05-14,109
PROD002,17 - February - 2024,132
PROD002,2025-11-19,171
PROD002,22 - May - 2025,75
PROD002,2025-09-12,84
PROD002,2024-12-01,124
PROD002,2024-03-19,157
PROD002,2024-02-11,55
PROD002,20250506,60
PROD002,2025-04-06,100
PROD002,07 - May - 2025,0
PROD002,2024-03-24,73
PROD002,2025-02-22,105
PROD002,2025-03-12,124
PROD002,2025-12-24,98
PROD002,2024-05-19,85
PROD002,2025-12-01,122
PROD002,2025-05-22,53
PROD002,2024-06-20,78
PROD002,20250511,107
PROD002,2025-09-01,112
PROD002,2025-07-24,118
PROD002,2024-08-23,81
PROD002,27 - December - 2025,55
PROD002,20240623,73
PROD002,2025-04-25,68
PROD002,20240203,-68
PROD002,2024-06-28,44
PROD002,2024-07-18,65
PROD002,20240130,130
PROD002,2024-11-16,-78
PROD002,2024-07-31,115
PROD002,20240808,45
PROD002,2025-04-05,88
PROD002,20241122,87
PROD002,2024-01-31,123
PROD002,09 - January - 2024,98
PROD002,2024-09-23,81
PROD002,26 - February - 2024,113
PROD002,2025-04-05,101
PROD002,2025-06-24,77
PROD002,2024-06-25,113
PROD002,2024-05-24,123
PROD002,2025-06-06,130
PROD002,2024-11-21,91
PROD002,20251017,109
PROD002,2024-08-10,110
PROD002,2025-03-11,52
PROD002,20240415,120
PROD002,2025-11-18,110
PROD002,14 - October - 2025,76
PROD002,2024-04-29,110
PROD002,2025-01-06,57
PROD002,2025-01-15,118
PROD002,2024-02-09,102
PROD002,2025-07-09,81
PROD002,06 - March - 2024,60
PROD002,21 - November - 2024,75
PROD002,2024-03-16,57
PROD002,2025-07-10,116
PROD002,2025-03-02,113
PROD002,2025-01-05,124
PROD002,20241120,62
PROD002,2025-12-09,59
PROD002,20250914,57
PROD002,2025-06-16,68
PROD002,2025-08-31,129
PROD002,20250226,132
PROD002,2024-10-14,95
PROD002,2025-04-22,171
PROD002,2024-01-30,73
PROD002,2024-12-02,88
PROD002,2025-09-10,187
PROD002,2024-08-15,92
PROD002,20250522,128
PROD002,2024-03-04,118
PROD002,2024-01-09,78
PROD002,2025-12-08,182
PROD002,20240302,120
PROD002,20240923,102
PROD002,2025-02-06,63
PROD002,2025-06-02,97
PROD002,20240619,131
PROD002,31 - August - 2024,96
PROD002,2025-04-02,103
PROD002,2024-01-10,115
PROD002,2024-11-29,55
PROD002,2024-12-26,64
PROD002,2024-07-23,121
PROD002,2025-05-14,90
PROD002,2025-05-04,100
PROD002,2025-03-28,104
PROD002,2025-01-16,-92
PROD002,2024-05-29,162
PROD002,2025-11-02,138
PROD002,2025-06-25,79
PROD002,2025-09-14,89
PROD002,2025-09-09,130
PROD002,2024-05-09,128
PROD002,2025-05-02,71
PROD002,2024-08-24,73
PROD002,14 - January - 2025,99
PROD002,2024-08-05,142
PROD002,2025-10-07,79
PROD002,2024-05-24,124
PROD002,30 - September - 2025,82
PROD002,2025-10-12,102
PROD002,2024-09-11,137
PROD002,2025-04-27,58
PROD002,20240914,104
PROD002,2025-04-01,66
PROD002,2025-09-19,166
PROD002,09 - February - 2024,92
PROD002,15 - October - 2025,-133
PROD002,20251030,56
PROD002,2025-08-14,141
PROD002,03 - November - 2025,128
PROD002,15 - August - 2025,148
PROD002,2024-04-17,133
PROD002,2024-12-09,81
PROD002,2025-04-28,47
PROD002,2024-04-18,98
PROD002,2024-08-23,93
PROD002,2024-11-02,105
PROD002,2024-08-27,111
PROD002,10 - May - 2024,146
PROD002,2024-12-19,134
PROD002,2024-06-04,143
PROD002,2025-09-15,93
PROD002,28 - October - 2024,-129
PROD002,2025-10-25,128
PROD002,03 - September - 2024,144
PROD002,2025-08-16,98
PROD002,2024-10-17,161
PROD002,2024-06-09,163
PROD002,2024-03-26,69
PROD002,2024-09-09,103
PROD002,2024-05-15,121
PROD002,2025-02-25,111
PROD002,2024-10-26,67
PROD002,2024-09-17,71
PROD002,2024-06-17,73
PROD002,04 - January - 2025,73
PROD002,2024-10-12,106
PROD002,2024-05-13,167
PROD002,2025-08-14,63
PROD002,2024-05-01,-97
PROD002,2025-08-04,101
PROD002,2024-08-11,156
PROD002,2024-12-02,126
PROD002,2025-02-09,109
PROD002,20240721,70
PROD002,2024-12-17,113
PROD002,2025-05-25,132
PROD002,2025-02-28,63
PROD002,16 - November - 2024,109
PROD002,2024-09-20,119
PROD002,2025-08-10,124
PROD002,2025-04-12,120
PROD002,2024-10-03,139
PROD002,2024-04-05,61
PROD002,2025-08-21,142
PROD002,2024-12-30,57
PROD002,2025-01-14,122
PROD002,2024-07-01,141
PROD002,2024-02-24,84
PROD002,2024-07-25,73
PROD002,2025-11-15,84
PROD002,2024-05-12,86
PROD002,2025-06-16,92
PROD002,2024-04-09,126
PROD002,2025-03-03,99
PROD002,2024-08-02,113
PROD002,2025-07-15,83
PROD002,2024-07-05,79
PROD002,2025-11-25,-80
PROD002,2024-03-08,112
PROD002,07 - September - 2025,117
PROD002,2024-05-23,131
PROD002,2024-12-16,120
PROD002,2024-05-03,104
PROD002,2025-01-11,94
PROD002,2024-05-26,64
PROD002,2025-09-02,84
PROD002,24 - October - 2024,53
PROD002,2025-09-24,102
PROD002,2024-11-08,77
PROD002,2024-07-20,88
PROD002,2025-12-12,108
PROD002,2024-01-18,89
PROD002,2025-01-06,78
PROD002,20240606,76
PROD002,2024-01-29,139
PROD002,20251002,104
PROD002,2025-08-11,116
PROD002,2024-03-29,73
PROD002,02 - December - 2025,64
PROD002,2025-01-08,41
PROD002,2024-01-24,85
PROD002,20240325,155
PROD002,2024-10-22,114
PROD002,2025-06-17,86
PROD002,2024-11-11,129
PROD002,2025-11-22,62
PROD002,2024-12-09,134
PROD002,2025-02-03,142
PROD002,2025-11-10,85
PROD002,2024-03-04,89
PROD002,28 - February - 2024,108
PROD002,2025-11-28,63
PROD002,2025-02-20,98
PROD002,2024-07-11,167
PROD002,20250926,80
PROD002,2024-01-03,94
PROD002,2024-03-11,96
PROD002,2025-11-21,129
PROD002,2024-02-12,112
PROD002,20240328,127
PROD002,2024-12-10,84
PROD002,2025-01-02,120
PROD002,2025-10-10,63
PROD002,28 - August - 2024,53
PROD002,2025-08-01,132
PROD002,2024-12-12,72
PROD002,20240307,45
PROD002,2025-09-24,99
PROD002,2024-06-10,117
PROD002,2025-04-30,51
PROD002,2024-01-29,90
PROD002,2025-10-11,115
PROD002,2024-11-17,113
PROD002,2025-07-03,44
PROD002,2025-09-07,135
PROD002,2025-12-30,105
PROD002,2025-06-29,-108
PROD002,2025-04-19,99
PROD002,2024-05-12,135
PROD002,14 - July - 2025,93
PROD002,2025-07-25,118
PROD002,2024-07-18,104
PROD002,2025-02-19,111
PROD002,2025-07-23,102
PROD002,2025-11-21,97
PROD002,2024-08-12,140
PROD002,2024-02-04,81
PROD002,20240604,79
PROD002,2025-04-28,138
PROD002,2024-02-23,82
PROD002,2025-09-17,49
PROD002,2025-02-15,98
PROD002,2024-02-22,55
PROD002,2025-02-14,21
PROD002,2024-01-26,97
PROD002,20251003,115
PROD002,2025-02-21,135
PROD002,2025-05-22,128
PROD002,2025-03-18,61
PROD002,09 - April - 2025,88
PROD002,20250630,120
PROD002,12 - March - 2025,95
PROD002,2025-09-03,77
PROD002,2024-08-18,42
PROD002,27 - March - 2025,10
PROD002,07 - October - 2025,100
PROD002,2024-11-05,60
PROD002,2024-08-04,110
PROD002,2024-07-11,82
PROD002,2025-06-11,84
PROD002,2024-05-20,121
PROD002,2024-04-16,80
PROD002,2025-09-26,-75
PROD002,2025-07-16,106
PROD002,2024-04-20,81
PROD002,20240215,93
PROD002,2025-03-13,147
PROD002,2024-11-06,102
PROD002,21 - August - 2025,94
PROD002,2024-01-31,-128
PROD002,2025-03-17,37
PROD002,2025-02-26,132
PROD002,2025-05-25,36
PROD002,2025-03-08,146
PROD002,2025-04-19,57
PROD002,2025-03-03,100
PROD002,07 - October - 2025,56
PROD002,2025-09-26,124
PROD002,2024-04-21,131
PROD002,2024-12-01,129
PROD002,2025-08-17,76
PROD002,20251013,111
PROD002,2025-03-12,146
PROD002,2024-08-22,93
PROD002,2024-05-12,94
PROD002,2025-11-12,115
PROD002,2024-05-14,76
PROD002,2025-12-12,64
PROD002,2024-10-22,46
PROD002,2025-08-19,117
PROD002,2025-04-24,85
PROD002,2024-06-09,109
PROD002,2024-04-04,92
PROD002,2025-03-25,131
PROD002,2024-08-18,138
PROD002,2025-10-01,101
PROD002,2025-03-16,147
PROD002,2025-02-17,76
PROD002,2025-12-17,73
PROD002,21 - June - 2024,104
PROD002,2024-02-06,112
