venta_id,producto_id,fecha_venta,cantidad,cliente_id
VTA00054,PROD001,2025-05-17,0,CL015
VTA00055,PROD001,20240701,3,CL007
VTA00056,PROD001,24 - April - 2025,2,CL019
VTA00057,PROD001,20250707,0,CL005
VTA00058,PROD001,09 - March - 2024,-2,CL016
VTA00059,PROD001,2025-08-12,2,CL005
VTA00060,PROD001,2025-10-09,1,CL001
VTA00061,PROD001,28 - January - 2025,7,CL001
VTA00062,PROD001,20241130,5,CL014
VTA00063,PROD001,2024-01-14,0,CL017
VTA00064,PROD001,2025-04-23,2,CL007
VTA00065,PROD001,2024-03-27,5,CL009
VTA00066,PROD001,2025-02-19,2,CL005
VTA00067,PROD001,20240623,2,CL017
VTA00068,PROD001,2025-01-03,-3,CL009
VTA00069,PROD001,2025-09-10,3,CL016
VTA00070,PROD001,2024-11-23,1,CL004
VTA00071,PROD001,20251121,1,CL007
VTA00072,PROD001,20251228,0,CL011
VTA00073,PROD001,2025-05-30,6,CL002
VTA00074,PROD001,2024-02-29,0,CL016
VTA00075,PROD001,2025-09-22,3,CL019
VTA00076,PROD001,2025-07-21,3,CL013
VTA00077,PROD001,2024-10-22,6,CL017
VTA00078,PROD001,2024-03-01,4,CL016
VTA00079,PROD001,2025-01-20,1,CL020
VTA00080,PROD001,2024-02-25,1,CL001
VTA00081,PROD001,2025-04-03,2,CL016
VTA00082,PROD001,2025-10-11,2,CL008
VTA00083,PROD001,2024-09-14,1,CL017
VTA00084,PROD001,23 - July - 2024,2,CL003
VTA00085,PROD001,2025-08-23,6,CL001
VTA00086,PROD001,20250721,3,CL017
VTA00087,PROD001,03 - September - 2025,2,CL006
VTA00088,PROD001,2025-05-19,5,CL014
VTA00089,PROD001,20240529,1,CL001
VTA00090,PROD001,2025-05-05,2,CL002
VTA00091,PROD001,2024-12-13,4,CL017
VTA00092,PROD001,20240407,0,CL014
VTA00093,PROD001,2025-05-28,-1,CL006
VTA00094,PROD001,2025-03-19,2,CL006
VTA00095,PROD001,2024-11-25,3,CL010
VTA00096,PROD001,2025-11-07,1,CL002
VTA00097,PROD001,2025-03-29,1,CL011
VTA00098,PROD001,2024-02-25,0,CL011
VTA00099,PROD001,11 - April - 2024,1,CL003
VTA00100,PROD001,2025-09-30,3,CL018
VTA00101,PROD001,2024-07-22,1,CL009
VTA00102,PROD001,2024-09-16,1,CL009
VTA00103,PROD001,20240308,3,CL017
VTA00104,PROD001,2024-07-21,2,CL014
VTA00105,PROD001,2025-03-27,2,CL019
VTA00106,PROD001,2025-06-04,3,CL003
VTA00107,PROD001,2024-10-16,0,CL010
VTA00108,PROD001,2025-02-15,1,CL017
VTA00109,PROD001,2024-09-07,2,CL004
VTA00110,PROD001,2025-01-27,3,CL006
VTA00111,PROD001,2025-10-18,2,CL001
VTA00112,PROD001,2024-01-06,1,CL011
VTA00113,PROD001,2024-03-05,1,CL003
VTA00114,PROD001,2025-01-17,2,CL011
VTA00115,PROD001,2025-09-23,2,CL002
VTA00116,PROD001,2025-02-10,2,CL004
VTA00117,PROD001,2024-11-06,1,CL014
VTA00118,PROD001,2024-07-29,1,CL011
VTA00119,PROD001,2025-03-09,2,CL002
VTA00120,PROD001,2024-08-23,3,CL006
VTA00121,PROD001,2024-10-27,4,CL009
VTA00122,PROD001,2024-05-29,3,CL011
VTA00123,PROD001,03 - August - 2025,1,CL005
VTA00124,PROD001,2024-06-21,3,CL008
VTA00125,PROD001,2024-11-16,2,CL015
VTA00126,PROD001,25 - February - 2025,2,CL008
VTA00127,PROD001,2025-03-31,0,CL007
VTA00128,PROD001,2025-06-17,1,CL001
VTA00129,PROD001,2025-01-24,2,CL005
VTA00130,PROD001,2025-07-22,1,CL005
VTA00131,PROD001,20251002,2,CL020
VTA00132,PROD001,2024-10-17,1,CL012
VTA00133,PROD001,2025-07-17,0,CL004
VTA00134,PROD001,20250131,1,CL010
VTA00135,PROD001,20240907,1,CL011
VTA00136,PROD001,20240421,3,CL012
VTA00137,PROD001,2024-03-15,2,CL017
VTA00138,PROD001,2025-02-24,5,CL014
VTA00139,PROD001,2024-05-16,2,CL015
VTA00140,PROD001,2024-10-18,0,CL020
VTA00141,PROD001,29 - July - 2025,1,CL011
VTA00142,PROD001,20251104,3,CL019
VTA00143,PROD001,2024-06-30,1,CL001
VTA00144,PROD001,2024-09-21,2,CL007
VTA00145,PROD001,2025-12-13,3,CL007
VTA00146,PROD001,2025-03-10,0,CL019
VTA00147,PROD001,2024-09-12,2,CL019
VTA00148,PROD001,17 - February - 2024,3,CL006
VTA00149,PROD001,2025-07-12,0,CL007
VTA00150,PROD001,2025-07-03,2,CL018
VTA00151,PROD001,2025-09-24,2,CL008
VTA00152,PROD001,2024-03-16,2,CL002
VTA00153,PROD001,2025-08-10,5,CL016
VTA00154,PROD001,2024-03-04,3,CL018
VTA00155,PROD001,2025-10-13,2,CL012
VTA00156,PROD001,2025-08-29,2,CL003
VTA00157,PROD001,2025-11-23,1,CL014
VTA00158,PROD001,20241209,1,CL009
VTA00159,PROD001,2025-01-30,2,CL004
VTA00160,PROD001,2024-04-06,6,CL005
VTA00161,PROD001,2025-04-20,2,CL006
VTA00162,PROD001,20250618,2,CL017
VTA00163,PROD001,01 - November - 2024,2,CL011
VTA00164,PROD001,2024-05-14,0,CL011
VTA00165,PROD001,2024-07-29,2,CL002
VTA00166,PROD001,2024-10-16,1,CL004
VTA00167,PROD001,2025-01-29,2,CL011
VTA00168,PROD001,2024-08-31,1,CL017
VTA00169,PROD001,2024-10-28,3,CL012
VTA00170,PROD001,2025-05-22,2,CL017
VTA00171,PROD001,2024-04-09,2,CL019
VTA00172,PROD001,20250618,4,CL015
VTA00173,PROD001,2025-05-21,0,CL010
VTA00174,PROD001,2025-03-05,3,CL007
VTA00175,PROD001,2024-08-05,6,CL017
VTA00176,PROD001,20250419,2,CL011
VTA00177,PROD001,2024-09-05,1,CL017
VTA00178,PROD001,2025-01-28,3,CL002
VTA00179,PROD001,2024-01-18,1,CL013
VTA00180,PROD001,2024-10-07,-1,CL017
VTA00181,PROD001,2024-10-20,5,CL005
VTA00182,PROD001,2025-06-18,0,CL018
VTA00183,PROD001,04 - August - 2024,-1,CL014
VTA00184,PROD001,02 - February - 2024,0,CL004
VTA00185,PROD001,2024-06-08,2,CL014
VTA00186,PROD001,2025-03-14,3,CL019
VTA00187,PROD001,2025-01-09,1,CL017
VTA00188,PROD001,2025-11-29,3,CL020
VTA00189,PROD001,27 - December - 2025,1,CL017
VTA00190,PROD001,22 - April - 2024,2,CL009
VTA00191,PROD001,2025-10-15,3,CL003
VTA00192,PROD001,28 - November - 2025,4,CL015
VTA00193,PROD001,2024-01-04,1,CL005
VTA00194,PROD001,20240609,1,CL008
VTA00195,PROD001,2025-10-06,4,CL001
VTA00196,PROD001,2025-10-03,7,CL006
VTA00197,PROD001,2024-05-18,4,CL007
VTA00198,PROD001,2024-04-27,3,CL014
VTA00199,PROD001,2024-08-26,1,CL013
VTA00200,PROD001,23 - July - 2025,0,CL010
VTA00201,PROD001,2024-11-11,2,CL004
VTA00202,PROD001,2024-05-06,2,CL017
VTA00203,PROD001,2025-02-28,2,CL015
VTA00204,PROD001,2025-12-08,1,CL007
VTA00205,PROD001,2024-02-17,-3,CL002
VTA00206,PROD001,2024-07-18,3,CL011
VTA00207,PROD001,2024-06-10,0,CL011
VTA00208,PROD001,2024-07-18,2,CL016
VTA00209,PROD001,2025-09-17,3,CL006
VTA00210,PROD001,2024-06-16,1,CL012
VTA00211,PROD001,20250214,2,CL008
VTA00212,PROD001,2025-07-16,3,CL003
VTA00213,PROD001,2024-05-15,1,CL012
VTA00214,PROD001,2024-06-29,1,CL002
VTA00215,PROD001,2025-08-05,2,CL018
VTA00216,PROD001,2024-12-16,2,CL006
VTA00217,PROD001,2025-10-24,2,CL014
VTA00218,PROD001,2024-04-14,-3,CL001
VTA00219,PROD001,2025-01-12,0,CL001
VTA00220,PROD001,2025-08-24,1,CL014
VTA00221,PROD001,2025-05-21,1,CL008
VTA00222,PROD001,2025-04-09,1,CL007
VTA00223,PROD001,20250323,4,CL007
VTA00224,PROD001,27 - April - 2025,3,CL010
VTA00225,PROD001,16 - November - 2024,3,CL019
VTA00226,PROD001,2025-12-13,1,CL019
VTA00227,PROD001,28 - April - 2024,0,CL005
VTA00228,PROD001,2025-12-28,2,CL015
VTA00229,PROD001,2024-07-07,4,CL012
VTA00230,PROD001,2025-07-14,3,CL002
VTA00231,PROD001,2024-12-21,3,CL012
VTA00232,PROD001,2024-10-07,2,CL004
VTA00233,PROD001,2025-10-25,1,CL005
VTA00234,PROD001,2025-09-15,1,CL015
VTA00235,PROD001,2025-03-08,2,CL002
VTA00236,PROD001,2025-09-18,0,CL012
VTA00237,PROD001,2024-04-05,2,CL014
VTA00238,PROD001,2024-08-29,2,CL008
VTA00239,PROD001,2025-03-26,1,CL011
VTA00240,PROD001,2025-06-21,4,CL012
VTA00241,PROD001,2025-01-29,0,CL009
VTA00242,PROD001,2025-01-22,1,CL006
VTA00243,PROD001,2024-05-11,0,CL019
VTA00244,PROD001,31 - January - 2024,3,CL018
VTA00245,PROD001,20251211,2,CL006
VTA00246,PROD001,2024-04-11,0,CL016
VTA00247,PROD001,2025-11-17,1,CL008
VTA00248,PROD001,2024-04-23,2,CL011
VTA00249,PROD001,2025-05-13,4,CL014
VTA00250,PROD001,2025-11-01,5,CL006
VTA00251,PROD001,2024-08-20,3,CL011
VTA00252,PROD001,2025-10-03,1,CL006
VTA00253,PROD001,2025-10-20,3,CL007
VTA00254,PROD001,2024-01-05,1,CL019
VTA00255,PROD001,2024-10-10,1,CL012
VTA00256,PROD001,2024-01-11,1,CL002
VTA00257,PROD001,2024-12-04,3,CL012
VTA00258,PROD001,2024-04-18,1,CL011
VTA00259,PROD001,2025-07-12,3,CL016
VTA00260,PROD001,2025-04-17,3,CL019
VTA00261,PROD001,20240315,1,CL015
VTA00262,PROD001,2025-01-23,1,CL002
VTA00263,PROD001,18 - July - 2024,1,CL012
VTA00264,PROD001,2024-05-12,2,CL010
VTA00265,PROD001,2025-10-31,1,CL012
VTA00266,PROD001,2024-02-01,5,CL010
VTA00267,PROD001,2024-05-07,4,CL019
VTA00268,PROD001,2025-09-13,3,CL005
VTA00269,PROD001,02 - May - 2024,3,CL015
VTA00270,PROD001,20240617,1,CL013
VTA00271,PROD001,2025-03-09,2,CL003
VTA00272,PROD001,19 - November - 2024,2,CL014
VTA00273,PROD001,2024-03-17,2,CL008
VTA00274,PROD001,2025-04-16,2,CL007
VTA00275,PROD001,2024-02-20,1,CL008
VTA00276,PROD001,2025-10-04,2,CL006
VTA00277,PROD001,2024-02-08,3,CL012
VTA00278,PROD001,2024-03-05,3,CL016
VTA00279,PROD001,2024-01-01,3,CL019
VTA00280,PROD001,2024-04-21,6,CL001
VTA00281,PROD001,2025-03-20,1,CL004
VTA00282,PROD001,2024-08-09,1,CL009
VTA00283,PROD001,2025-01-07,4,CL015
VTA00284,PROD001,2025-12-25,3,CL003
VTA00285,PROD001,2025-05-07,2,CL014
VTA00286,PROD001,2024-02-29,1,CL018
VTA00287,PROD001,2025-11-29,4,CL001
VTA00288,PROD001,2025-03-18,1,CL009
VTA00289,PROD001,25 - August - 2025,1,CL004
VTA00290,PROD001,2024-04-08,4,CL018
VTA00291,PROD001,2024-07-21,-1,CL002
VTA00292,PROD001,2025-04-19,1,CL010
VTA00293,PROD001,2024-06-03,3,CL009
VTA00294,PROD001,2024-04-13,0,CL019
VTA00295,PROD001,20240509,3,CL020
VTA00296,PROD001,2024-05-06,4,CL003
VTA00297,PROD001,2024-09-25,4,CL006
VTA00298,PROD001,2024-07-08,1,CL001
VTA00299,PROD001,2024-08-24,2,CL004
VTA00300,PROD001,2024-09-28,2,CL004
VTA00301,PROD001,20250923,2,CL006
VTA00302,PROD001,2024-10-13,1,CL009
VTA00303,PROD001,19 - November - 2025,1,CL018
VTA00304,PROD001,2024-01-29,5,CL013
VTA00305,PROD001,2024-04-19,3,CL011
VTA00306,PROD001,2025-04-26,1,CL020
VTA00307,PROD001,2025-06-22,1,CL015
VTA00308,PROD001,2025-11-18,2,CL008
VTA00309,PROD001,2024-07-12,0,CL017
VTA00310,PROD001,2024-08-03,3,CL004
VTA00311,PROD001,20250719,2,CL004
VTA00312,PROD001,2024-08-01,6,CL008
VTA00313,PROD001,2025-03-12,0,CL014
VTA00314,PROD001,2024-11-16,3,CL014
VTA00315,PROD001,2024-01-10,4,CL013
VTA00316,PROD001,2024-06-10,3,CL011
VTA00317,PROD001,2024-07-15,2,CL020
VTA00318,PROD001,2025-08-19,1,CL013
VTA00319,PROD001,2024-10-28,3,CL007
VTA00320,PROD001,2025-02-25,2,CL008
VTA00321,PROD001,20240629,2,CL010
VTA00322,PROD001,2025-04-25,3,CL016
VTA00323,PROD001,2025-07-26,1,CL012
VTA00324,PROD001,28 - June - 2025,2,CL019
VTA00325,PROD001,2025-09-06,2,CL004
VTA00326,PROD001,20250611,3,CL010
VTA00327,PROD001,2025-03-28,2,CL004
VTA00328,PROD001,20250107,1,CL020
VTA00329,PROD001,13 - February - 2025,3,CL017
VTA00330,PROD001,2025-04-09,1,CL006
VTA00331,PROD001,2024-06-02,3,CL001
VTA00332,PROD001,2024-03-05,1,CL011
VTA00333,PROD001,2025-06-19,1,CL020
VTA00334,PROD001,27 - July - 2025,0,CL014
VTA00335,PROD001,2025-06-29,3,CL003
VTA00336,PROD001,2024-01-20,0,CL013
VTA00337,PROD001,2025-05-24,2,CL019
VTA00338,PROD001,2024-10-02,2,CL004
VTA00339,PROD001,07 - April - 2024,0,CL018
VTA00340,PROD001,2025-10-25,1,CL014
VTA00341,PROD001,2025-03-21,1,CL004
VTA00342,PROD001,2024-01-10,1,CL007
VTA00343,PROD001,2024-06-29,2,CL010
VTA00344,PROD001,20250908,1,CL011
VTA00345,PROD001,2024-02-15,1,CL001
VTA00346,PROD001,17 - July - 2025,0,CL011
VTA00347,PROD001,2025-12-04,2,CL014
VTA00348,PROD001,2025-06-17,3,CL019
VTA00349,PROD001,2024-08-13,3,CL010
VTA00350,PROD001,2024-03-05,3,CL011
VTA00351,PROD001,2024-02-19,2,CL001
VTA00352,PROD001,2024-11-08,1,CL010
VTA00353,PROD001,2024-12-03,3,CL010
VTA00354,PROD001,2025-12-14,2,CL004
VTA00355,PROD001,2025-07-06,1,CL020
VTA00356,PROD001,2025-09-27,1,CL017
VTA00357,PROD001,2024-01-20,0,CL008
VTA00358,PROD001,2024-07-25,2,CL018
VTA00359,PROD001,2024-03-09,1,CL008
VTA00360,PROD001,20240728,4,CL008
VTA00361,PROD001,2025-01-14,2,CL013
VTA00362,PROD001,2025-10-23,2,CL008
VTA00363,PROD001,2025-10-14,1,CL006
VTA00364,PROD001,2025-12-07,1,CL016
VTA00365,PROD001,2025-12-22,1,CL002
VTA00366,PROD001,2024-05-01,-2,CL003
VTA00367,PROD001,2025-01-20,2,CL009
VTA00368,PROD001,2025-08-20,2,CL015
VTA00369,PROD001,2025-04-20,1,CL012
VTA00370,PROD001,2024-09-01,1,CL001
VTA00371,PROD001,2024-06-24,1,CL011
VTA00372,PROD001,20 - April - 2025,3,CL003
VTA00373,PROD001,2024-01-23,1,CL015
VTA00374,PROD001,2024-05-07,3,CL004
VTA00375,PROD001,24 - September - 2025,1,CL014
VTA00376,PROD001,2025-07-08,3,CL019
VTA00377,PROD001,2025-10-24,2,CL006
VTA00378,PROD001,2024-06-14,1,CL014
VTA00379,PROD001,2024-12-15,0,CL014
VTA00380,PROD001,2025-11-01,2,CL010
VTA00381,PROD001,2025-05-25,5,CL020
VTA00382,PROD001,2024-03-23,2,CL001
VTA00383,PROD001,20241208,2,CL009
VTA00384,PROD001,2024-02-05,5,CL017
VTA00385,PROD001,2024-07-27,1,CL005
VTA00386,PROD001,2024-07-03,1,CL009
VTA00387,PROD001,2025-10-26,5,CL012
VTA00388,PROD001,2024-12-05,1,CL008
VTA00389,PROD001,2025-11-23,4,CL012
VTA00390,PROD001,2024-12-21,5,CL018
VTA00391,PROD001,2024-09-21,1,CL010
VTA00392,PROD001,2025-12-10,2,CL013
VTA00393,PROD001,2024-12-12,3,CL020
VTA00394,PROD001,2024-03-19,3,CL009
VTA00395,PROD001,2024-10-16,0,CL019
VTA00396,PROD001,2025-10-04,1,CL014
VTA00397,PROD001,2025-12-25,0,CL001
VTA00398,PROD001,2024-10-11,3,CL001
VTA00399,PROD001,2025-08-24,2,CL013
VTA00400,PROD001,2025-08-28,0,CL018
VTA00401,PROD001,2024-03-24,2,CL008
VTA00402,PROD001,2025-07-02,0,CL015
VTA00403,PROD001,20250701,4,CL019
VTA00404,PROD001,2025-10-28,3,CL006
VTA00405,PROD001,2025-08-28,4,CL015
VTA00406,PROD001,20240201,0,CL006
VTA00407,PROD001,2025-09-09,3,CL012
VTA00408,PROD001,2025-08-05,4,CL004
VTA00409,PROD001,2024-10-13,2,CL005
VTA00410,PROD001,2025-10-11,1,CL018
VTA00411,PROD001,2025-04-09,1,CL017
VTA00412,PROD001,2024-03-14,4,CL017
VTA00413,PROD001,2024-04-12,1,CL011
VTA00414,PROD001,20240409,0,CL011
VTA00415,PROD001,2024-10-10,1,CL015
VTA00416,PROD001,2024-12-22,0,CL005
VTA00417,PROD001,2025-11-28,5,CL020
VTA00418,PROD001,2024-01-23,5,CL019
VTA00419,PROD001,2024-09-17,2,CL012
VTA00420,PROD001,2024-06-20,2,CL003
VTA00421,PROD001,2024-04-19,2,CL018
VTA00422,PROD001,2025-03-31,2,CL005
VTA00423,PROD001,2024-12-13,1,CL002
VTA00424,PROD001,2025-06-11,2,CL005
VTA00425,PROD001,2025-08-02,3,CL016
VTA00426,PROD001,2024-03-09,2,CL011
VTA00427,PROD001,28 - May - 2024,3,CL019
VTA00428,PROD001,2025-10-14,2,CL007
VTA00429,PROD001,2025-11-28,1,CL017
VTA00430,PROD001,20250412,1,CL003
VTA00431,PROD001,23 - November - 2024,3,CL011
VTA00432,PROD001,2025-09-28,4,CL015
VTA00433,PROD001,24 - December - 2025,-2,CL003
VTA00434,PROD001,2025-06-22,2,CL005
VTA00435,PROD001,2025-08-23,3,CL002
VTA00436,PROD001,26 - February - 2024,2,CL003
VTA00437,PROD001,2025-04-06,2,CL006
VTA00438,PROD001,2024-08-06,0,CL010
VTA00439,PROD001,2024-06-25,1,CL015
VTA00440,PROD001,2024-06-03,2,CL007
VTA00441,PROD001,13 - December - 2024,3,CL017
VTA00442,PROD001,2025-06-09,4,CL018
VTA00443,PROD001,2025-06-05,4,CL018
VTA00444,PROD001,2024-10-20,2,CL009
VTA00445,PROD001,2025-06-30,1,CL018
VTA00446,PROD001,2024-07-20,1,CL009
VTA00447,PROD001,05 - September - 2024,1,CL001
VTA00448,PROD001,2024-04-04,5,CL012
VTA00449,PROD001,2025-05-07,0,CL001
VTA00450,PROD001,2025-11-10,2,CL011
VTA00451,PROD001,2025-05-01,5,CL012
VTA00452,PROD001,2025-12-30,0,CL007
VTA00453,PROD001,2024-12-31,2,CL012
VTA00454,PROD001,2024-01-03,2,CL002
VTA00455,PROD001,2024-06-03,3,CL013
VTA00456,PROD001,2024-01-27,2,CL006
VTA00457,PROD001,2025-04-15,2,CL011
VTA00458,PROD001,2024-09-25,0,CL010
VTA00459,PROD001,2025-01-31,0,CL013
VTA00460,PROD001,2024-10-03,1,CL010
VTA00461,PROD001,2024-01-23,3,CL004
VTA00462,PROD001,2024-01-31,3,CL012
VTA00463,PROD001,2024-04-01,0,CL009
VTA00464,PROD001,2024-03-28,1,CL001
VTA00465,PROD001,2025-06-23,2,CL004
VTA00466,PROD001,2025-02-04,5,CL004
VTA00467,PROD001,18 - October - 2025,4,CL004
VTA00468,PROD001,30 - November - 2025,5,CL012
VTA00469,PROD001,2025-03-28,3,CL008
VTA00470,PROD001,2025-04-09,2,CL020
VTA00471,PROD001,03 - September - 2024,2,CL017
VTA00472,PROD001,2025-11-10,1,CL001
VTA00473,PROD001,20251130,1,CL014
VTA00474,PROD001,25 - February - 2024,2,CL013
VTA00475,PROD001,2024-11-30,5,CL018
VTA00476,PROD001,2025-09-15,2,CL016
VTA00477,PROD001,20241023,2,CL018
VTA00478,PROD001,2025-03-09,0,CL006
VTA00479,PROD001,2024-05-18,7,CL004
VTA00480,PROD001,2024-06-29,2,CL012
VTA00481,PROD001,2024-01-09,0,CL010
VTA00482,PROD001,2025-08-10,0,CL008
VTA00483,PROD001,2025-09-11,1,CL003
VTA00484,PROD001,20251015,0,CL002
VTA00485,PROD001,2025-12-26,0,CL017
VTA00486,PROD001,2025-04-08,0,CL003
VTA00487,PROD001,2025-11-25,3,CL018
VTA00488,PROD001,2025-04-24,1,CL020
VTA00489,PROD001,2024-01-21,4,CL009
VTA00490,PROD001,2025-11-24,3,CL019
VTA00491,PROD001,2024-04-14,3,CL010
VTA00492,PROD001,2025-10-10,1,CL016
VTA00493,PROD001,20240830,2,CL015
VTA00494,PROD001,2025-10-04,1,CL004
VTA00495,PROD001,2025-05-21,2,CL020
VTA00496,PROD001,2024-11-06,0,CL009
VTA00497,PROD001,01 - January - 2024,2,CL007
VTA00498,PROD001,2024-05-28,0,CL019
VTA00499,PROD001,20240207,1,CL004
VTA00500,PROD001,2025-06-25,2,CL016
VTA00501,PROD002,2025-08-19,1,CL004
VTA00502,PROD002,2025-12-19,3,CL010
VTA00503,PROD002,2025-06-01,1,CL011
VTA00504,PROD002,2025-04-03,3,CL005
VTA00505,PROD002,2024-03-15,2,CL002
VTA00506,PROD002,2025-05-23,5,CL009
VTA00507,PROD002,2024-05-22,1,CL003
VTA00508,PROD002,2024-03-27,3,CL015
VTA00509,PROD002,04 - January - 2025,2,CL003
VTA00510,PROD002,2024-01-09,3,CL019
VTA00511,PROD002,2025-05-30,2,CL016
VTA00512,PROD002,2025-09-21,2,CL011
VTA00513,PROD002,2025-09-23,1,CL019
VTA00514,PROD002,2025-01-01,0,CL003
VTA00515,PROD002,2025-09-12,3,CL012
VTA00516,PROD002,2024-07-28,1,CL001
VTA00517,PROD002,2024-11-10,2,CL018
VTA00518,PROD002,2024-11-11,2,CL004
VTA00519,PROD002,2025-12-17,2,CL020
VTA00520,PROD002,2024-07-21,1,CL010
VTA00521,PROD002,2024-05-10,1,CL005
VTA00522,PROD002,2024-05-18,1,CL007
VTA00523,PROD002,11 - July - 2024,1,CL010
VTA00524,PROD002,2025-05-18,1,CL015
VTA00525,PROD002,2025-11-25,1,CL020
VTA00526,PROD002,2024-03-08,3,CL009
VTA00527,PROD002,2025-05-30,2,CL004
VTA00528,PROD002,2025-11-22,0,CL015
VTA00529,PROD002,20240604,1,CL004
VTA00530,PROD002,2025-05-26,2,CL017
VTA00531,PROD002,30 - January - 2025,3,CL006
VTA00532,PROD002,2025-12-14,0,CL018
VTA00533,PROD002,2024-03-08,3,CL009
VTA00534,PROD002,2024-11-16,2,CL018
VTA00535,PROD002,20250605,0,CL015
VTA00536,PROD002,20250623,0,CL014
VTA00537,PROD002,2024-07-16,1,CL003
VTA00538,PROD002,2024-06-06,2,CL018
VTA00539,PROD002,2025-08-10,3,CL001
VTA00540,PROD002,2024-07-03,3,CL011
VTA00541,PROD002,2025-01-27,1,CL009
VTA00542,PROD002,2024-01-26,5,CL011
VTA00543,PROD002,2025-11-14,0,CL011
VTA00544,PROD002,2025-03-13,1,CL011
VTA00545,PROD002,2024-12-24,1,CL014
VTA00546,PROD002,20240109,2,CL017
VTA00547,PROD002,2024-05-15,4,CL004
VTA00548,PROD002,2025-11-05,2,CL020
VTA00549,PROD002,2025-09-29,3,CL017
VTA00550,PROD002,2025-01-04,2,CL019
VTA00551,PROD002,20250828,3,CL016
VTA00552,PROD002,2025-06-30,2,CL013
VTA00553,PROD002,11 - June - 2025,2,CL002
VTA00554,PROD002,2025-01-23,2,CL011
VTA00555,PROD002,2025-06-18,1,CL019
VTA00556,PROD002,2024-06-11,2,CL019
VTA00557,PROD002,2024-09-02,4,CL003
VTA00558,PROD002,2025-05-23,1,CL019
VTA00559,PROD002,2025-02-03,1,CL016
VTA00560,PROD002,2025-03-18,0,CL017
VTA00561,PROD002,20240530,2,CL001
VTA00562,PROD002,2024-01-14,1,CL015
VTA00563,PROD002,2025-10-08,3,CL001
VTA00564,PROD002,2024-12-05,2,CL007
VTA00565,PROD002,2024-11-25,3,CL008
VTA00566,PROD002,2024-01-12,1,CL006
VTA00567,PROD002,11 - October - 2024,2,CL013
VTA00568,PROD002,2024-11-24,2,CL010
VTA00569,PROD002,2024-08-22,1,CL004
VTA00570,PROD002,2024-12-04,3,CL017
VTA00571,PROD002,2024-09-29,1,CL016
VTA00572,PROD002,2024-02-18,5,CL005
VTA00573,PROD002,2024-05-31,3,CL017
VTA00574,PROD002,2024-07-07,4,CL012
VTA00575,PROD002,2024-12-11,2,CL008
VTA00576,PROD002,2025-03-13,5,CL019
VTA00577,PROD002,2025-08-22,3,CL006
VTA00578,PROD002,2025-06-30,1,CL014
VTA00579,PROD002,2024-06-08,2,CL004
VTA00580,PROD002,20241202,4,CL005
VTA00581,PROD002,2024-07-08,0,CL003
VTA00582,PROD002,2025-08-24,4,CL007
VTA00583,PROD002,2025-12-28,3,CL016
